id_klienta	id_sprzetu	data_wypozyczenia	data_do_zwrotu	data_zwrotu	status	koszt
1	1	2024-01-05	2024-01-12	2024-01-12	Zwrócony	150.00
2	2	2024-01-06	2024-01-13	2024-01-13	Zwrócony	130.00
3	3	2024-01-07	2024-01-14	2024-01-14	Zwrócony	140.00
4	4	2024-01-08	2024-01-15	\N	Wypożyczony	120.00
5	5	2024-01-09	2024-01-16	2024-01-16	Zwrócony	160.00
6	6	2024-01-10	2024-01-17	2024-01-17	Zwrócony	110.00
7	7	2024-01-11	2024-01-18	2024-01-18	Zwrócony	140.00
8	8	2024-01-12	2024-01-19	2024-01-19	Zwrócony	130.00
9	9	2024-01-13	2024-01-20	2024-01-20	Zwrócony	150.00
10	10	2024-01-14	2024-01-21	2024-01-21	Zwrócony	120.00
